DateKey,FullDateAlternateKey,DayNumberOfWeek,EnglishDayNameOfWeek,DayNumberOfMonth,DayNumberOfYear,WeekNumberOfYear,EnglishMonthName,MonthNumberOfYear,CalendarQuarter,CalendarYear,CalendarSemester,FiscalQuarter,FiscalYear,FiscalSemester,WeekNumberOfMonth,FiscalYearRange,fiscal month number
20180519,19 May 2018,7,SATURDAY,19,139,20,MAY,5,2,2018,1,1,2019,1,3,2018-2019,2
20240419,19 April 2024,6,FRIDAY,19,110,16,APRIL,4,2,2024,1,1,2025,1,3,2024-2025,1
20250619,19 June 2025,5,THURSDAY,19,170,25,JUNE,6,2,2025,1,1,2026,1,3,2025-2026,3
20200419,19 April 2020,1,SUNDAY,19,110,17,APRIL,4,2,2020,1,1,2021,1,3,2020-2021,1
20170519,19 May 2017,6,FRIDAY,19,139,20,MAY,5,2,2017,1,1,2018,1,3,2017-2018,2
20250519,19 May 2025,2,MONDAY,19,139,21,MAY,5,2,2025,1,1,2026,1,3,2025-2026,2
20130619,19 June 2013,4,WEDNESDAY,19,170,25,JUNE,6,2,2013,1,1,2014,1,3,2013-2014,3
20240619,19 June 2024,4,WEDNESDAY,19,171,25,JUNE,6,2,2024,1,1,2025,1,3,2024-2025,3
20150519,19 May 2015,3,TUESDAY,19,139,21,MAY,5,2,2015,1,1,2016,1,3,2015-2016,2
20190619,19 June 2019,4,WEDNESDAY,19,170,25,JUNE,6,2,2019,1,1,2020,1,3,2019-2020,3
20210519,19 May 2021,4,WEDNESDAY,19,139,21,MAY,5,2,2021,1,1,2022,1,3,2021-2022,2
20220419,19 April 2022,3,TUESDAY,19,109,17,APRIL,4,2,2022,1,1,2023,1,3,2022-2023,1
20160619,19 June 2016,1,SUNDAY,19,171,26,JUNE,6,2,2016,1,1,2017,1,3,2016-2017,3
20210619,19 June 2021,7,SATURDAY,19,170,25,JUNE,6,2,2021,1,1,2022,1,3,2021-2022,3
20170419,19 April 2017,4,WEDNESDAY,19,109,16,APRIL,4,2,2017,1,1,2018,1,3,2017-2018,1
20190419,19 April 2019,6,FRIDAY,19,109,16,APRIL,4,2,2019,1,1,2020,1,3,2019-2020,1
20150419,19 April 2015,1,SUNDAY,19,109,17,APRIL,4,2,2015,1,1,2016,1,3,2015-2016,1
20140419,19 April 2014,7,SATURDAY,19,109,16,APRIL,4,2,2014,1,1,2015,1,3,2014-2015,1
20250419,19 April 2025,7,SATURDAY,19,109,16,APRIL,4,2,2025,1,1,2026,1,3,2025-2026,1
20140619,19 June 2014,5,THURSDAY,19,170,25,JUNE,6,2,2014,1,1,2015,1,3,2014-2015,3
20230619,19 June 2023,2,MONDAY,19,170,25,JUNE,6,2,2023,1,1,2024,1,3,2023-2024,3
20180619,19 June 2018,3,TUESDAY,19,170,25,JUNE,6,2,2018,1,1,2019,1,3,2018-2019,3
20130519,19 May 2013,1,SUNDAY,19,139,21,MAY,5,2,2013,1,1,2014,1,3,2013-2014,2
20170619,19 June 2017,2,MONDAY,19,170,25,JUNE,6,2,2017,1,1,2018,1,3,2017-2018,3
20130419,19 April 2013,6,FRIDAY,19,109,16,APRIL,4,2,2013,1,1,2014,1,3,2013-2014,1
20190319,19 March 2019,3,TUESDAY,19,78,12,MARCH,3,1,2019,1,4,2019,2,3,2018-2019,12
